target,budget,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
80,15000000,7.079069767441859,6.566666666666668,6.673076923076923,6.164705882352941,6.785000000000001,6.3352941176470585,6.1499999999999995,6.006122448979591,4.371875,5.610714285714286,7.932,4.537,4.017,4.914,5.258,5.519,3.947,3.769,2.769,2.314,5.15625,6.591379310344828,8.0,5.15625,5.15625,5.15625,5.15625,3.779,1.702,3.006,3.779,3.779,3.779,3.779
76,100000000,6.630357142857141,6.406818181818184,6.5625,6.305128205128205,7.599999999999999,6.1568627450980395,4.746666666666666,4.769642857142858,7.119999999999998,6.16551724137931,8.912,10.261,7.246,7.423,1.08,3.358,1.116,3.451,2.878,3.236,6.80714285714286,7.089999999999998,6.686206896551725,6.80714285714286,6.80714285714286,6.80714285714286,6.80714285714286,8.16,0.6,2.859,8.16,8.16,8.16,8.16
84,20000000,7.331578947368423,7.128000000000001,5.140298507462686,5.040000000000001,7.747368421052634,5.775757575757576,6.624000000000002,4.483673469387755,4.799999999999999,5.664285714285715,9.7,6.155,5.291,1.842,4.321,4.627,2.043,4.593,2.795,1.092,8.400000000000002,7.2600000000000025,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,1.15,0.6,1.358,1.15,1.15,1.15,1.15
68,40000000,6.645762711864406,6.111999999999999,5.35,6.713793103448276,5.857142857142856,5.184615384615384,6.393333333333333,5.7875000000000005,6.213333333333333,6.195348837209303,13.504,6.783,9.913,21.264,9.568,3.416,2.233,4.759,3.113,2.128,6.6625000000000005,6.3383838383838365,6.6625000000000005,6.6625000000000005,6.6625000000000005,6.6625000000000005,6.6625000000000005,1.15,0.716,1.15,1.15,1.15,1.15,1.15
68,50000000,5.927397260273974,5.808,6.340000000000001,6.639999999999999,4.079999999999999,5.78,6.049999999999999,5.124137931034483,5.919230769230769,5.4521739130434765,17.539,3.297,4.509,1.856,2.949,3.151,3.788,4.225,1.021,1.052,6.592307692307691,6.168000000000001,6.592307692307691,6.592307692307691,6.592307692307691,6.592307692307691,6.592307692307691,3.35,1.62,3.35,3.35,3.35,3.35,3.35
65,11000000,5.42,6.62,5.84,5.966666666666667,6.094444444444445,6.154545454545455,5.98,4.3,5.07111111111111,6.075,3.711,2.375,2.154,3.929,2.708,6.099,3.555,2.898,2.295,4.761,6.34,6.34,5.676470588235294,6.5,6.34,6.34,6.34,3.014,1.201,0.6,1.102,3.014,3.014,3.014
55,10000000,5.325,5.46,5.46,4.688235294117646,4.9911764705882335,5.606896551724138,5.2,5.5,5.56875,5.5,1.153,4.287,1.029,2.784,2.295,4.795,1.571,1.138,6.161,2.435,5.5,5.557142857142858,5.46,5.5,5.5,5.5,5.5,1.4,0.6,1.018,1.4,1.4,1.4,1.4
54,15000000,5.326315789473685,5.4,5.4,6.062500000000001,5.504761904761905,5.008955223880595,5.36,5.5518072289156635,6.0,5.0249999999999995,1.153,4.287,1.029,1.024,3.032,2.295,2.24,4.795,0.605,1.553,5.59375,5.550000000000001,5.4,5.59375,5.59375,5.59375,5.59375,0.786,0.6,1.018,0.786,0.786,0.786,0.786
73,7000000,5.1625,5.269811320754716,6.703846153846153,4.6,6.37,6.1304347826086945,6.184615384615384,5.091666666666667,7.019999999999998,4.163636363636363,13.504,9.638,6.059,2.575,2.552,1.848,1.96,5.964,2.174,3.23,6.899999999999998,4.728571428571429,6.899999999999998,6.219999999999999,6.899999999999998,6.899999999999998,6.899999999999998,1.124,0.98,1.124,1.708,1.124,1.124,1.124
74,58800000,6.151063829787234,5.194117647058823,6.24871794871795,7.400000000000001,5.93888888888889,6.840000000000002,7.400000000000001,5.4941176470588236,7.400000000000001,6.302857142857143,9.913,7.457,2.506,1.286,0.6,0.98,0.6,0.6,0.84,2.724,6.681666666666666,6.681666666666666,6.681666666666666,6.681666666666666,6.681666666666666,6.681666666666666,6.681666666666666,5.221,5.221,5.221,5.221,5.221,5.221,5.221
